id,url,levels,word,translation,part_of_speech,ipa,audio_link
ammunition,https://www.oxfordlearnersdictionaries.com/definition/english/ammunition,C2,ammunition,đạn dược,noun,/ˌæmjəˈnɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amm/ammun/ammunition__gb_2.mp3
ad_hominem,https://www.oxfordlearnersdictionaries.com/definition/english/ad-hominem,C2,ad hominem,quảng cáo cá nhân,"adjective,adverb",/ˌæd ˈhɒmɪnem/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ad_/ad_ho/ad_hominem_1_gb_1.mp3
arguable,https://www.oxfordlearnersdictionaries.com/definition/english/arguable,C1,arguable,có thể tranh cãi,adjective,/ˈɑːɡjuəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arg/argua/arguable__gb_1.mp3
arguably,https://www.oxfordlearnersdictionaries.com/definition/english/arguably,C1,arguably,có thể nói là,adverb,/ˈɑːɡjuəbli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arg/argua/arguably__gb_2.mp3
anyway,https://www.oxfordlearnersdictionaries.com/definition/english/anyway,A2,anyway,Dẫu sao thì,adverb,/ˈeniweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/any/anywa/anyway__gb_1.mp3
a_link_in_the_chain,https://www.oxfordlearnersdictionaries.com/definition/english/link_1,C2,a link in the chain,một liên kết trong chuỗi,noun,/lɪŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/link_/link__gb_2.mp3
aporia,https://www.oxfordlearnersdictionaries.com/definition/english/aporia,C2,aporia,lời xin lỗi,noun,/əˈpɔːriə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/apo/apori/aporia__gb_1.mp3
a_chink_in_somebody’s_armour,https://www.oxfordlearnersdictionaries.com/definition/english/chink_1,C2,a chink in somebody’s armour,một vết nứt trên áo giáp của ai đó,noun,/tʃɪŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chink/chink__gb_4.mp3
argumentation,https://www.oxfordlearnersdictionaries.com/definition/english/argumentation,C2,argumentation,sự tranh luận,noun,/ˌɑːɡjumənˈteɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arg/argum/argumentation__gb_1.mp3
but,https://www.oxfordlearnersdictionaries.com/definition/english/but_4,C1,but,Nhưng,noun,/bʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/but/but__/but__gb_6.mp3
apologia,https://www.oxfordlearnersdictionaries.com/definition/english/apologia,C2,apologia,lời xin lỗi,noun,/ˌæpəˈləʊdʒiə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/apo/apolo/apologia__gb_1.mp3
by_extension,https://www.oxfordlearnersdictionaries.com/definition/english/extension,C2,by extension,bằng cách mở rộng,noun,/ɪkˈstenʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ext/exten/extension__gb_1.mp3
belabour_the_point,https://www.oxfordlearnersdictionaries.com/definition/english/belabour,C2,belabour the point,nghiên cứu quan điểm,verb,/bɪˈleɪbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belab/belabour__gb_1.mp3
carry,https://www.oxfordlearnersdictionaries.com/definition/english/carry_1,C2,carry,mang,verb,/ˈkæri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carry/carry__gb_1.mp3
a_rod/stick_to_beat_somebody_with,https://www.oxfordlearnersdictionaries.com/definition/english/beat_1,C2,a rod/stick to beat somebody with,một cây gậy/cây gậy để đánh ai đó,verb,/biːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beat_/beat__gb_3.mp3
case,https://www.oxfordlearnersdictionaries.com/definition/english/case_1,B2,case,trường hợp,noun,/keɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/case_/case__gb_2.mp3
casuistry,https://www.oxfordlearnersdictionaries.com/definition/english/casuistry,C2,casuistry,lối ngụy biện,noun,/ˈkæʒuɪstri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/casui/casuistry__gb_1.mp3
at_the_same_time,https://www.oxfordlearnersdictionaries.com/definition/english/time_1,C1,at the same time,cùng lúc,noun,/taɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tim/time_/time__gb_1.mp3
circularity,https://www.oxfordlearnersdictionaries.com/definition/english/circularity,C2,circularity,tính tuần hoàn,noun,/ˌsɜːkjəˈlærəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circularity__gb_1.mp3
circular,https://www.oxfordlearnersdictionaries.com/definition/english/circular_1,C2,circular,hình tròn,adjective,/ˈsɜːkjələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circular__gb_1.mp3
be_on_firm/solid_ground,https://www.oxfordlearnersdictionaries.com/definition/english/ground_1,C2,be on firm/solid ground,ở trên mặt đất vững chắc/vững chắc,noun,/ɡraʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gro/groun/ground__gb_2.mp3
claim,https://www.oxfordlearnersdictionaries.com/definition/english/claim_1,B1,claim,khẳng định,verb,/kleɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/claim/claim__gb_2.mp3
claim,https://www.oxfordlearnersdictionaries.com/definition/english/claim_2,B1,claim,khẳng định,noun,/kleɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/claim/claim__gb_2.mp3
clincher,https://www.oxfordlearnersdictionaries.com/definition/english/clincher,C2,clincher,móc sắt,noun,/ˈklɪntʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clinc/clincher__gb_1.mp3
confute,https://www.oxfordlearnersdictionaries.com/definition/english/confute,C2,confute,bác bỏ,verb,/kənˈfjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconf/xconfute__gb_1.mp3
concede,https://www.oxfordlearnersdictionaries.com/definition/english/concede,C1,concede,thừa nhận,verb,/kənˈsiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcede__gb_1.mp3
contend,https://www.oxfordlearnersdictionaries.com/definition/english/contend,C1,contend,tranh luận,verb,/kənˈtend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontend__gb_1.mp3
consistently,https://www.oxfordlearnersdictionaries.com/definition/english/consistently,B2,consistently,nhất quán,adverb,/kənˈsɪstəntli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsistently__gb_1.mp3
counterexample,https://www.oxfordlearnersdictionaries.com/definition/english/counterexample,C2,counterexample,phản ví dụ,noun,/ˈkaʊntərɪɡzɑːmpl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/counterexample__gb_1.mp3
counterargument,https://www.oxfordlearnersdictionaries.com/definition/english/counterargument,B2,counterargument,phản biện,noun,/ˈkaʊntərɑːɡjumənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/counter_argument_1_gb_1.mp3
count,https://www.oxfordlearnersdictionaries.com/definition/english/count_2,C2,count,đếm,noun,/kaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/count__gb_2.mp3
corollary,https://www.oxfordlearnersdictionaries.com/definition/english/corollary,C2,corollary,hệ quả tất yếu,noun,/kəˈrɒləri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corol/corollary__gb_1.mp3
climbdown,https://www.oxfordlearnersdictionaries.com/definition/english/climbdown,C2,climbdown,trèo xuống,noun,/ˈklaɪmdaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/climb/climbdown__gb_1.mp3
credible,https://www.oxfordlearnersdictionaries.com/definition/english/credible,C1,credible,đáng tin cậy,adjective,/ˈkredəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/credi/credible__gb_3.mp3
climb_down,https://www.oxfordlearnersdictionaries.com/definition/english/climb-down,C2,climb down,trèo xuống,phrasal verb,,
defence,https://www.oxfordlearnersdictionaries.com/definition/english/defence,C1,defence,phòng thủ,noun,/dɪˈfens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defence__gb_1.mp3
defense,https://www.oxfordlearnersdictionaries.com/definition/english/defense,C1,defense,phòng thủ,noun,/dɪˈfens/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defence__gb_1.mp3
defend,https://www.oxfordlearnersdictionaries.com/definition/english/defend,B2,defend,phòng vệ,verb,/dɪˈfend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defend__gb_1.mp3
dialectic,https://www.oxfordlearnersdictionaries.com/definition/english/dialectic,C2,dialectic,biện chứng,noun,/ˌdaɪəˈlektɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dia/diale/dialectic__gb_1.mp3
flatten,https://www.oxfordlearnersdictionaries.com/definition/english/flatten,C2,flatten,làm phẳng,verb,/ˈflætn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flatt/flatten__gb_1.mp3
evidence,https://www.oxfordlearnersdictionaries.com/definition/english/evidence_1,A2,evidence,chứng cớ,noun,/ˈevɪdəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/evi/evide/evidence__gb_2.mp3
defensible,https://www.oxfordlearnersdictionaries.com/definition/english/defensible,C2,defensible,có thể phòng thủ được,adjective,/dɪˈfensəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defen/defensible__gb_1.mp3
for_a_start,https://www.oxfordlearnersdictionaries.com/definition/english/start_2,C2,for a start,để bắt đầu,noun,/stɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/start/start__gb_1.mp3
flesh_out,https://www.oxfordlearnersdictionaries.com/definition/english/flesh-out,C2,flesh out,thịt ra,phrasal verb,,
for_starters,https://www.oxfordlearnersdictionaries.com/definition/english/starter,C2,for starters,dành cho người mới bắt đầu,noun,/ˈstɑːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/start/starter__gb_1.mp3
dialectical,https://www.oxfordlearnersdictionaries.com/definition/english/dialectical,C2,dialectical,biện chứng,adjective,/ˌdaɪəˈlektɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dia/diale/dialectical__gb_1.mp3
furthermore,https://www.oxfordlearnersdictionaries.com/definition/english/furthermore,B2,furthermore,hơn nữa,adverb,/ˌfɜːðəˈmɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fur/furth/furthermore__gb_1.mp3
generalize,https://www.oxfordlearnersdictionaries.com/definition/english/generalize,C1,generalize,khái quát hóa,verb,/ˈdʒenrəlaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generalize__gb_1.mp3
given_that,https://www.oxfordlearnersdictionaries.com/definition/english/given-that,C1,given that,cho rằng,conjunction,/ˈɡɪvn ðət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/giv/given/given_that_1_gb_2.mp3
for_that_matter,https://www.oxfordlearnersdictionaries.com/definition/english/matter_1,C1,for that matter,về vấn đề đó,noun,/ˈmætə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/matte/matter__gb_1.mp3
hair-splitting,https://www.oxfordlearnersdictionaries.com/definition/english/hair-splitting,C2,hair-splitting,chẻ tóc,noun,/ˈheə splɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hai/hair_/hair_splitting_1_gb_1.mp3
hearing,https://www.oxfordlearnersdictionaries.com/definition/english/hearing,C2,hearing,thính giác,noun,/ˈhɪərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heari/hearing__gb_1.mp3
in_effect,https://www.oxfordlearnersdictionaries.com/definition/english/effect_1,C1,in effect,có hiệu lực,noun,/ɪˈfekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eff/effec/effect__gb_2.mp3
high_ground,https://www.oxfordlearnersdictionaries.com/definition/english/high-ground,C2,high ground,vùng đất cao,noun,/ˈhaɪ ɡraʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_ground_1_gb_1.mp3
hedge_your_bets,https://www.oxfordlearnersdictionaries.com/definition/english/hedge_2,C2,hedge your bets,phòng ngừa các vụ cá cược của bạn,verb,/hedʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hed/hedge/hedge__gb_1.mp3
invalidate,https://www.oxfordlearnersdictionaries.com/definition/english/invalidate,C2,invalidate,làm mất hiệu lực,verb,/ɪnˈvælɪdeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inv/inval/invalidate__gb_1.mp3
