id,url,levels,word,translation,part_of_speech,ipa,audio_link
business_studies,https://www.oxfordlearnersdictionaries.com/definition/english/business-studies,B1,business studies,nghiên cứu kinh doanh,noun,/ˈbɪznəs stʌdiz/,
compulsory,https://www.oxfordlearnersdictionaries.com/definition/english/compulsory,B2,compulsory,bắt buộc,adjective,/kəmˈpʌlsəri/,
co-curricular,https://www.oxfordlearnersdictionaries.com/definition/english/co-curricular,C2,co-curricular,đồng khóa học,adjective,/ˌkəʊ kəˈrɪkjələ(r)/,
art,https://www.oxfordlearnersdictionaries.com/definition/english/art_1,A1,art,nghệ thuật,noun,/ɑːt/,
arithmetic,https://www.oxfordlearnersdictionaries.com/definition/english/arithmetic_1,C1,arithmetic,số học,noun,/əˈrɪθmətɪk/,
course,https://www.oxfordlearnersdictionaries.com/definition/english/course_1,A1,course,khóa học,noun,/kɔːs/,
classic,https://www.oxfordlearnersdictionaries.com/definition/english/classic_2,C1,classic,cổ điển,noun,/ˈklæsɪk/,
chemistry,https://www.oxfordlearnersdictionaries.com/definition/english/chemistry,A2,chemistry,hoá học,noun,/ˈkemɪstri/,
algebra,https://www.oxfordlearnersdictionaries.com/definition/english/algebra,C1,algebra,đại số,noun,/ˈældʒɪbrə/,
biology,https://www.oxfordlearnersdictionaries.com/definition/english/biology,A2,biology,sinh vật học,noun,/baɪˈɒlədʒi/,
curricular,https://www.oxfordlearnersdictionaries.com/definition/english/curricular,C2,curricular,chương trình giảng dạy,adjective,/kəˈrɪkjələ(r)/,
curriculum,https://www.oxfordlearnersdictionaries.com/definition/english/curriculum,B2,curriculum,chương trình giảng dạy,noun,/kəˈrɪkjələm/,
disciplinary,https://www.oxfordlearnersdictionaries.com/definition/english/disciplinary,C2,disciplinary,kỷ luật,adjective,/ˌdɪsəˈplɪnəri/,
dt,https://www.oxfordlearnersdictionaries.com/definition/english/dt,C2,DT,DT,noun,/ˌdiː ˈtiː/,
drama,https://www.oxfordlearnersdictionaries.com/definition/english/drama,A2,drama,kịch,noun,/ˈdrɑːmə/,
economics,https://www.oxfordlearnersdictionaries.com/definition/english/economics,B2,economics,kinh tế,noun,/ˌiːkəˈnɒmɪks/,
elective,https://www.oxfordlearnersdictionaries.com/definition/english/elective_1,C2,elective,tự chọn,adjective,/ɪˈlektɪv/,
decolonize,https://www.oxfordlearnersdictionaries.com/definition/english/decolonize,C2,decolonize,giải phóng thuộc địa,verb,/ˌdiːˈkɒlənaɪz/,
cross-disciplinary,https://www.oxfordlearnersdictionaries.com/definition/english/cross-disciplinary,C2,cross-disciplinary,liên ngành,adjective,/ˌkrɒs dɪsəˈplɪnəri/,
day_school,https://www.oxfordlearnersdictionaries.com/definition/english/day-school,C2,day school,trường học ban ngày,noun,/ˈdeɪ skuːl/,
engineering,https://www.oxfordlearnersdictionaries.com/definition/english/engineering,B1,engineering,kỹ thuật,noun,/ˌendʒɪˈnɪərɪŋ/,
extramural,https://www.oxfordlearnersdictionaries.com/definition/english/extramural,C2,extramural,ngoại thành,adjective,/ˌekstrəˈmjʊərəl/,
extracurricular,https://www.oxfordlearnersdictionaries.com/definition/english/extracurricular,C1,extracurricular,ngoại khóa,adjective,/ˌekstrəkəˈrɪkjələ(r)/,
geography,https://www.oxfordlearnersdictionaries.com/definition/english/geography,A1,geography,địa lý,noun,/dʒiˈɒɡrəfi/,
