id,url,levels,word,translation,part_of_speech,ipa,audio_link
bonus,https://www.oxfordlearnersdictionaries.com/definition/english/bonus,C1,bonus,thưởng,noun,/ˈbəʊnəs/,
bribe,https://www.oxfordlearnersdictionaries.com/definition/english/bribe_2,C1,bribe,hối lộ,verb,/braɪb/,
bribe,https://www.oxfordlearnersdictionaries.com/definition/english/bribe_1,C1,bribe,hối lộ,noun,/braɪb/,
admission,https://www.oxfordlearnersdictionaries.com/definition/english/admission,C1,admission,nhập học,noun,/ədˈmɪʃn/,
cash_in_hand,https://www.oxfordlearnersdictionaries.com/definition/english/cash_1,C2,cash in hand,tiền mặt trong tay,noun,/kæʃ/,
be_in_arrears,https://www.oxfordlearnersdictionaries.com/definition/english/arrears,C2,be in arrears,bị nợ đọng,noun,/əˈrɪəz/,
bail,https://www.oxfordlearnersdictionaries.com/definition/english/bail_1,C1,bail,tại ngoại,noun,/beɪl/,
blank_cheque,https://www.oxfordlearnersdictionaries.com/definition/english/blank-cheque,C2,blank cheque,séc trống,noun,/ˌblæŋk ˈtʃek/,
cash_transfer,https://www.oxfordlearnersdictionaries.com/definition/english/cash-transfer,C1,cash transfer,chuyển tiền mặt,noun,/ˌkæʃ ˈtrænsfɜː(r)/,
a/per_head,https://www.oxfordlearnersdictionaries.com/definition/english/head_1,C1,a/per head,một/mỗi đầu,noun,/hed/,
contactless,https://www.oxfordlearnersdictionaries.com/definition/english/contactless,C1,contactless,không tiếp xúc,adjective,/ˈkɒntæktləs/,
fare,https://www.oxfordlearnersdictionaries.com/definition/english/fare_1,B2,fare,giá vé,noun,/feə(r)/,
fee,https://www.oxfordlearnersdictionaries.com/definition/english/fee,B2,fee,phí,noun,/fiː/,
due,https://www.oxfordlearnersdictionaries.com/definition/english/due_1,B2,due,quá hạn,adjective,/djuː/,
finance,https://www.oxfordlearnersdictionaries.com/definition/english/finance_2,B2,finance,tài chính,verb,/ˈfaɪnæns/,
expense,https://www.oxfordlearnersdictionaries.com/definition/english/expense,B2,expense,chi phí,noun,/ɪkˈspens/,
finance,https://www.oxfordlearnersdictionaries.com/definition/english/finance_1,B2,finance,tài chính,noun,/ˈfaɪnæns/,
fine,https://www.oxfordlearnersdictionaries.com/definition/english/fine_3,C1,fine,khỏe,noun,/faɪn/,
financing,https://www.oxfordlearnersdictionaries.com/definition/english/financing,B2,financing,tài chính,noun,/ˈfaɪnænsɪŋ/,
fixed_penalty,https://www.oxfordlearnersdictionaries.com/definition/english/fixed-penalty,C1,fixed penalty,hình phạt cố định,noun,/ˌfɪkst ˈpenəlti/,
lump_sum,https://www.oxfordlearnersdictionaries.com/definition/english/lump-sum,C2,lump sum,số tiền một lần,noun,/ˌlʌmp ˈsʌm/,
invoice,https://www.oxfordlearnersdictionaries.com/definition/english/invoice_1,C1,invoice,hóa đơn,noun,/ˈɪnvɔɪs/,
in_arrears,https://www.oxfordlearnersdictionaries.com/definition/english/arrears,C2,in arrears,bị truy thu,noun,/əˈrɪəz/,
instalment,https://www.oxfordlearnersdictionaries.com/definition/english/instalment,C2,instalment,trả góp,noun,/ɪnˈstɔːlmənt/,
