id,url,levels,word,translation,part_of_speech,ipa,audio_link
flanker,https://www.oxfordlearnersdictionaries.com/definition/english/flanker,C2,flanker,người ở bên sườn,noun,/ˈflæŋkə(r)/,
backline,https://www.oxfordlearnersdictionaries.com/definition/english/backline,C2,backline,tuyến sau,noun,/ˈbæklaɪn/,
fly_half,https://www.oxfordlearnersdictionaries.com/definition/english/fly-half,C2,fly half,bay một nửa,noun,/ˌflaɪ ˈhɑːf/,
free_kick,https://www.oxfordlearnersdictionaries.com/definition/english/free-kick,B2,free kick,đá phạt,noun,/ˌfriː ˈkɪk/,
drop_kick,https://www.oxfordlearnersdictionaries.com/definition/english/drop-kick_1,C2,drop kick,thả đá,noun,/ˈdrɒp kɪk/,
drop-kick,https://www.oxfordlearnersdictionaries.com/definition/english/drop-kick_2,C2,drop-kick,cú đá rơi,verb,/ˈdrɒp kɪk/,
field_goal,https://www.oxfordlearnersdictionaries.com/definition/english/field-goal,C2,field goal,mục tiêu sân cỏ,noun,/ˈfiːld ɡəʊl/,
convert,https://www.oxfordlearnersdictionaries.com/definition/english/convert_1,C2,convert,chuyển thành,verb,/kənˈvɜːt/,
drop_goal,https://www.oxfordlearnersdictionaries.com/definition/english/drop-goal,C2,drop goal,thả mục tiêu,noun,/ˈdrɒp ɡəʊl/,
conversion,https://www.oxfordlearnersdictionaries.com/definition/english/conversion,C2,conversion,chuyển đổi,noun,/kənˈvɜːʃn/,
handoff,https://www.oxfordlearnersdictionaries.com/definition/english/handoff,C2,handoff,chuyển giao,noun,/ˈhændɒf/,
kicker,https://www.oxfordlearnersdictionaries.com/definition/english/kicker,C2,kicker,người đá bóng,noun,/ˈkɪkə(r)/,
in-goal_area,https://www.oxfordlearnersdictionaries.com/definition/english/in-goal-area,C2,in-goal area,khu vực trong khung thành,noun,/ˈɪn ɡəʊl eəriə/,
full_back,https://www.oxfordlearnersdictionaries.com/definition/english/full-back,C2,full back,lưng đầy đủ,noun,/ˈfʊl bæk/,
half_back,https://www.oxfordlearnersdictionaries.com/definition/english/half-back,C2,half back,nửa lưng,noun,/ˈhɑːf bæk/,
lock,https://www.oxfordlearnersdictionaries.com/definition/english/lock_2,C2,lock,khóa,noun,/lɒk/,
line-out,https://www.oxfordlearnersdictionaries.com/definition/english/line-out,C2,line-out,xếp hàng,noun,/ˈlaɪn aʊt/,
hooker,https://www.oxfordlearnersdictionaries.com/definition/english/hooker,C2,hooker,gái điếm,noun,/ˈhʊkə(r)/,
place_kick,https://www.oxfordlearnersdictionaries.com/definition/english/place-kick,C2,place kick,nơi đá,noun,/ˈpleɪs kɪk/,
no_side,https://www.oxfordlearnersdictionaries.com/definition/english/no-side,C2,no side,không có bên,noun,/ˌnəʊ ˈsaɪd/,
prop,https://www.oxfordlearnersdictionaries.com/definition/english/prop_1,C2,prop,chống đỡ,noun,/prɒp/,
punt,https://www.oxfordlearnersdictionaries.com/definition/english/punt_1,C2,punt,thuyền đánh cá,noun,/pʌnt/,
loose_head,https://www.oxfordlearnersdictionaries.com/definition/english/loose-head,C2,loose head,đầu lỏng lẻo,noun,/ˌluːs ˈhed/,
rugby,https://www.oxfordlearnersdictionaries.com/definition/english/rugby,B1,rugby,bóng bầu dục,noun,/ˈrʌɡbi/,
put-in,https://www.oxfordlearnersdictionaries.com/definition/english/put-in_2,C2,put-in,đưa vào,noun,/ˈpʊt ɪn/,
ruck,https://www.oxfordlearnersdictionaries.com/definition/english/ruck_1,C2,ruck,sự hỗn loạn,noun,/rʌk/,
loose_forward,https://www.oxfordlearnersdictionaries.com/definition/english/loose-forward,C2,loose forward,thả lỏng về phía trước,noun,/ˌluːs ˈfɔːwəd/,
