id,url,levels,word,translation,part_of_speech,ipa,audio_link
admit,https://www.oxfordlearnersdictionaries.com/definition/english/admit,C1,admit,thừa nhận,verb,/ədˈmɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admit/admit__gb_1.mp3
ccu,https://www.oxfordlearnersdictionaries.com/definition/english/ccu,C2,CCU,CCU,noun,/ˌsiː siː ˈjuː/,
accident_and_emergency,https://www.oxfordlearnersdictionaries.com/definition/english/accident-and-emergency,B2,accident and emergency,tai nạn và trường hợp khẩn cấp,noun,/ˌæksɪdənt ən ɪˈmɜːdʒənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accid/accident_and_emergency_1_gb_1.mp3
ambulance,https://www.oxfordlearnersdictionaries.com/definition/english/ambulance,B2,ambulance,xe cứu thương,noun,/ˈæmbjələns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amb/ambul/ambulance__gb_5.mp3
community_hospital,https://www.oxfordlearnersdictionaries.com/definition/english/community-hospital,C1,community hospital,bệnh viện cộng đồng,noun,/kəˌmjuːnəti ˈhɒspɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commu/community_hospital_1_gb_1.mp3
casualty,https://www.oxfordlearnersdictionaries.com/definition/english/casualty_1,C1,casualty,tai nạn,noun,/ˈkæʒuəlti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/casua/casualty__gb_5.mp3
aftercare,https://www.oxfordlearnersdictionaries.com/definition/english/aftercare,C2,aftercare,chăm sóc sau,noun,/ˈɑːftəkeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/aftercare__gb_1.mp3
clinic,https://www.oxfordlearnersdictionaries.com/definition/english/clinic,B2,clinic,phòng khám,noun,/ˈklɪnɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clini/clinic__gb_1.mp3
cottage_hospital,https://www.oxfordlearnersdictionaries.com/definition/english/cottage-hospital,C2,cottage hospital,bệnh viện nhỏ,noun,/ˌkɒtɪdʒ ˈhɒspɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cot/cotta/cottage_hospital_1_gb_1.mp3
discharge,https://www.oxfordlearnersdictionaries.com/definition/english/discharge_1,C1,discharge,phóng điện,verb,/dɪsˈtʃɑːdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disch/discharge__gb_1.mp3
admission,https://www.oxfordlearnersdictionaries.com/definition/english/admission,C1,admission,nhập học,noun,/ədˈmɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admis/admission__gb_1.mp3
ent,https://www.oxfordlearnersdictionaries.com/definition/english/ent_1,C2,ENT,tai mũi họng,abbreviation,/ˌiː en ˈtiː/,
emergency_room,https://www.oxfordlearnersdictionaries.com/definition/english/emergency-room,B2,emergency room,phòng cấp cứu,noun,/ɪˈmɜːdʒənsi ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eme/emerg/emergency_room_1_gb_3.mp3
hospice,https://www.oxfordlearnersdictionaries.com/definition/english/hospice,C2,hospice,nhà tế bần,noun,/ˈhɒspɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hos/hospi/hospice__gb_1.mp3
icu,https://www.oxfordlearnersdictionaries.com/definition/english/icu,C2,ICU,ICU,noun,/ˌaɪ siː ˈjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/icu/icu__/icu__gb_1.mp3
hospital,https://www.oxfordlearnersdictionaries.com/definition/english/hospital,A1,hospital,bệnh viện,noun,/ˈhɒspɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hos/hospi/hospital__gb_2.mp3
hospitalize,https://www.oxfordlearnersdictionaries.com/definition/english/hospitalize,C1,hospitalize,nhập viện,verb,/ˈhɒspɪtəlaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hos/hospi/hospitalize__gb_1.mp3
dispensary,https://www.oxfordlearnersdictionaries.com/definition/english/dispensary,C2,dispensary,trạm y tế,noun,/dɪˈspensəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dispe/dispensary__gb_2.mp3
hospitalization,https://www.oxfordlearnersdictionaries.com/definition/english/hospitalization,C1,hospitalization,nhập viện,noun,/ˌhɒspɪtəlaɪˈzeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hos/hospi/hospitalization__gb_1.mp3
internship,https://www.oxfordlearnersdictionaries.com/definition/english/internship,C2,internship,kỳ thực tập,noun,/ˈɪntɜːnʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inter/internship__gb_1.mp3
infirmary,https://www.oxfordlearnersdictionaries.com/definition/english/infirmary,C2,infirmary,bệnh xá,noun,/ɪnˈfɜːməri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infir/infirmary__gb_1.mp3
maternity,https://www.oxfordlearnersdictionaries.com/definition/english/maternity,B2,maternity,thai sản,noun,/məˈtɜːnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/mater/maternity__gb_1.mp3
mortuary,https://www.oxfordlearnersdictionaries.com/definition/english/mortuary,C2,mortuary,nhà xác,noun,/ˈmɔːtʃəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mor/mortu/mortuary__gb_1.mp3
polyclinic,https://www.oxfordlearnersdictionaries.com/definition/english/polyclinic,C2,polyclinic,phòng khám đa khoa,noun,/ˈpɒliklɪnɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pol/polyc/polyclinic__gb_1.mp3
inpatient,https://www.oxfordlearnersdictionaries.com/definition/english/inpatient,C2,inpatient,bệnh nhân nội trú,noun,/ˈɪnpeɪʃnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inp/inpat/inpatient__gb_1.mp3
patient,https://www.oxfordlearnersdictionaries.com/definition/english/patient_1,A2,patient,kiên nhẫn,noun,/ˈpeɪʃnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patie/patient__gb_2.mp3
outpatient,https://www.oxfordlearnersdictionaries.com/definition/english/outpatient,C2,outpatient,bệnh nhân ngoại trú,noun,/ˈaʊtpeɪʃnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/out/outpa/outpatient__gb_1.mp3
radiography,https://www.oxfordlearnersdictionaries.com/definition/english/radiography,C2,radiography,chụp X quang,noun,/ˌreɪdiˈɒɡrəfi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rad/radio/radiography__gb_1.mp3
mrsa,https://www.oxfordlearnersdictionaries.com/definition/english/mrsa,C2,MRSA,MRSA,noun,/ˌem ɑːr es ˈeɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mrs/mrsa_/mrsa__gb_1.mp3
sanatorium,https://www.oxfordlearnersdictionaries.com/definition/english/sanatorium,C2,sanatorium,viện điều dưỡng,noun,/ˌsænəˈtɔːriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/san/sanat/sanatorium__gb_1.mp3
triage,https://www.oxfordlearnersdictionaries.com/definition/english/triage,C2,triage,phân loại,noun,/ˈtriːɑːʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tri/triag/triage__gb_1.mp3
sanitarium,https://www.oxfordlearnersdictionaries.com/definition/english/sanitarium,C2,sanitarium,viện điều dưỡng,noun,/ˌsænəˈteəriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/san/sanit/sanitarium__gb_1.mp3
recovery,https://www.oxfordlearnersdictionaries.com/definition/english/recovery,C2,recovery,sự hồi phục,noun,/rɪˈkʌvəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recov/recovery__gb_1.mp3
ward,https://www.oxfordlearnersdictionaries.com/definition/english/ward_1,C1,ward,phường,noun,/wɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/war/ward_/ward__gb_1.mp3
unit,https://www.oxfordlearnersdictionaries.com/definition/english/unit,B2,unit,đơn vị,noun,/ˈjuːnɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/uni/unit_/unit__gb_2.mp3
round,https://www.oxfordlearnersdictionaries.com/definition/english/round_4,B2,round,tròn,noun,/raʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rou/round/round__gb_1.mp3
readmit,https://www.oxfordlearnersdictionaries.com/definition/english/readmit,C2,readmit,chấp nhận lại,verb,/ˌriːədˈmɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rea/readm/readmit__gb_1.mp3
