id,url,levels,word,translation,part_of_speech,ipa,audio_link
clinician,https://www.oxfordlearnersdictionaries.com/definition/english/clinician,C2,clinician,bác sĩ lâm sàng,noun,/klɪˈnɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clini/clinician__gb_1.mp3
consultant,https://www.oxfordlearnersdictionaries.com/definition/english/consultant,B2,consultant,tư vấn,noun,/kənˈsʌltənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsultant__gb_1.mp3
chiropractor,https://www.oxfordlearnersdictionaries.com/definition/english/chiropractor,C2,chiropractor,bác sĩ nắn khớp xương,noun,/ˈkaɪərəʊpræktə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chiro/chiropractor__gb_1.mp3
chiropodist,https://www.oxfordlearnersdictionaries.com/definition/english/chiropodist,C2,chiropodist,bác sĩ chỉnh hình,noun,/kɪˈrɒpədɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chiro/chiropodist__gb_1.mp3
chemist,https://www.oxfordlearnersdictionaries.com/definition/english/chemist,A2,chemist,nhà hóa học,noun,/ˈkemɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chemi/chemist__gb_3.mp3
acupuncturist,https://www.oxfordlearnersdictionaries.com/definition/english/acupuncturist,C2,acupuncturist,nhà châm cứu,noun,/ˈækjupʌŋktʃərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acu/acupu/acupuncturist__gb_1.mp3
attendant,https://www.oxfordlearnersdictionaries.com/definition/english/attendant_1,B2,attendant,tiếp viên,noun,/əˈtendənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/atten/attendant__gb_1.mp3
bedside_manner,https://www.oxfordlearnersdictionaries.com/definition/english/bedside-manner,C2,bedside manner,cách thức bên giường bệnh,noun,/ˌbedsaɪd ˈmænə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/bedsi/bedside_manner_1_gb_1.mp3
dental_surgeon,https://www.oxfordlearnersdictionaries.com/definition/english/dental-surgeon,C1,dental surgeon,bác sĩ phẫu thuật nha khoa,noun,/ˈdentl sɜːdʒən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/den/denta/dental_surgeon_1_gb_1.mp3
anaesthetist,https://www.oxfordlearnersdictionaries.com/definition/english/anaesthetist,C2,anaesthetist,bác sĩ gây mê,noun,/əˈniːsθətɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/anaes/anaesthetist__gb_1.mp3
dentist,https://www.oxfordlearnersdictionaries.com/definition/english/dentist,A2,dentist,nha sĩ,noun,/ˈdentɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/den/denti/dentist__gb_2.mp3
dietician,https://www.oxfordlearnersdictionaries.com/definition/english/dietician,C2,dietician,chuyên gia dinh dưỡng,noun,/ˌdaɪəˈtɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/die/dieti/dietitian__gb_1.mp3
dermatologist,https://www.oxfordlearnersdictionaries.com/definition/english/dermatologist,C2,dermatologist,bác sĩ da liễu,noun,/ˌdɜːməˈtɒlədʒɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/der/derma/dermatologist__gb_1.mp3
doctor,https://www.oxfordlearnersdictionaries.com/definition/english/doctor_1,A1,doctor,bác sĩ,noun,/ˈdɒktə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/docto/doctor__gb_2.mp3
dr,https://www.oxfordlearnersdictionaries.com/definition/english/dr,B1,Dr,Tiến sĩ,abbreviation,,
dispensing_chemist,https://www.oxfordlearnersdictionaries.com/definition/english/dispensing-chemist,C2,dispensing chemist,nhà hóa học pha chế,noun,/dɪˈspensɪŋ kemɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dispe/dispensing_chemist_1_gb_1.mp3
