id,url,levels,word,translation,part_of_speech,ipa,audio_link
cataclysm,https://www.oxfordlearnersdictionaries.com/definition/english/cataclysm,C2,cataclysm,trận đại hồng thủy,noun,/ˈkætəklɪzəm/,
aftershock,https://www.oxfordlearnersdictionaries.com/definition/english/aftershock,C2,aftershock,dư chấn,noun,/ˈɑːftəʃɒk/,
aid,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1,B2,aid,sự giúp đỡ,noun,/eɪd/,
avalanche,https://www.oxfordlearnersdictionaries.com/definition/english/avalanche,B2,avalanche,trận tuyết lở,noun,/ˈævəlɑːnʃ/,
cyclone,https://www.oxfordlearnersdictionaries.com/definition/english/cyclone,C1,cyclone,lốc xoáy,noun,/ˈsaɪkləʊn/,
act_of_god,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,C2,act of God,hành động của Chúa,noun,/ækt/,
blizzard,https://www.oxfordlearnersdictionaries.com/definition/english/blizzard,B2,blizzard,bão tuyết,noun,/ˈblɪzəd/,
airlift,https://www.oxfordlearnersdictionaries.com/definition/english/airlift_1,C2,airlift,vận tải hàng không,noun,/ˈeəlɪft/,
airlift,https://www.oxfordlearnersdictionaries.com/definition/english/airlift_2,C2,airlift,vận tải hàng không,verb,/ˈeəlɪft/,
death_toll,https://www.oxfordlearnersdictionaries.com/definition/english/death-toll,C2,death toll,số người chết,noun,/ˈdeθ təʊl/,
earthquake,https://www.oxfordlearnersdictionaries.com/definition/english/earthquake,B1,earthquake,trận động đất,noun,/ˈɜːθkweɪk/,
drought,https://www.oxfordlearnersdictionaries.com/definition/english/drought,B2,drought,hạn hán,noun,/draʊt/,
emergency_services,https://www.oxfordlearnersdictionaries.com/definition/english/emergency-services,B2,emergency services,dịch vụ khẩn cấp,noun,/ɪˈmɜːdʒənsi sɜːvɪsɪz/,
erupt,https://www.oxfordlearnersdictionaries.com/definition/english/erupt,B2,erupt,phun trào,verb,/ɪˈrʌpt/,
dust_storm,https://www.oxfordlearnersdictionaries.com/definition/english/dust-storm,B2,dust storm,bão bụi,noun,/ˈdʌst stɔːm/,
disaster_area,https://www.oxfordlearnersdictionaries.com/definition/english/disaster-area,B1,disaster area,khu vực thảm họa,noun,/dɪˈzɑːstər eəriə/,
electrical_storm,https://www.oxfordlearnersdictionaries.com/definition/english/electrical-storm,C1,electrical storm,bão điện,noun,/ɪˌlektrɪkl ˈstɔːm/,
eruption,https://www.oxfordlearnersdictionaries.com/definition/english/eruption,B2,eruption,phun trào,noun,/ɪˈrʌpʃn/,
flash_flood,https://www.oxfordlearnersdictionaries.com/definition/english/flash-flood,C2,flash flood,lũ quét,noun,/ˌflæʃ ˈflʌd/,
eruptive,https://www.oxfordlearnersdictionaries.com/definition/english/eruptive,C2,eruptive,phun trào,adjective,/ɪˈrʌptɪv/,
flood,https://www.oxfordlearnersdictionaries.com/definition/english/flood_1,B1,flood,lụt,noun,/flʌd/,
epicentre,https://www.oxfordlearnersdictionaries.com/definition/english/epicentre,C2,epicentre,tâm chấn,noun,/ˈepɪsentə(r)/,
first_responder,https://www.oxfordlearnersdictionaries.com/definition/english/first-responder,C2,first responder,người trả lời đầu tiên,noun,/ˌfɜːst rɪˈspɒndə(r)/,
eye,https://www.oxfordlearnersdictionaries.com/definition/english/eye_1,C2,eye,mắt,noun,/aɪ/,
flooding,https://www.oxfordlearnersdictionaries.com/definition/english/flooding,B2,flooding,lũ lụt,noun,/ˈflʌdɪŋ/,
floodwater,https://www.oxfordlearnersdictionaries.com/definition/english/floodwater,B2,floodwater,nước lũ,noun,/ˈflʌdwɔːtə(r)/,
focus,https://www.oxfordlearnersdictionaries.com/definition/english/focus_2,C2,focus,tập trung,noun,/ˈfəʊkəs/,
hurricane,https://www.oxfordlearnersdictionaries.com/definition/english/hurricane,B1,hurricane,cơn bão,noun,/ˈhʌrɪkən/,
magnitude,https://www.oxfordlearnersdictionaries.com/definition/english/magnitude,C2,magnitude,kích cỡ,noun,/ˈmæɡnɪtjuːd/,
lava,https://www.oxfordlearnersdictionaries.com/definition/english/lava,B2,lava,dung nham,noun,/ˈlɑːvə/,
landslide,https://www.oxfordlearnersdictionaries.com/definition/english/landslide,B2,landslide,lở đất,noun,/ˈlændslaɪd/,
relief,https://www.oxfordlearnersdictionaries.com/definition/english/relief,B2,relief,sự cứu tế,noun,/rɪˈliːf/,
salvage,https://www.oxfordlearnersdictionaries.com/definition/english/salvage_1,C2,salvage,cứu hộ,noun,/ˈsælvɪdʒ/,
sandstorm,https://www.oxfordlearnersdictionaries.com/definition/english/sandstorm,B1,sandstorm,bão cát,noun,/ˈsændstɔːm/,
shelter_in_place,https://www.oxfordlearnersdictionaries.com/definition/english/shelter_2,C2,shelter in place,trú ẩn tại chỗ,verb,/ˈʃeltə(r)/,
reservist,https://www.oxfordlearnersdictionaries.com/definition/english/reservist,C2,reservist,quân dự bị,noun,/rɪˈzɜːvɪst/,
seaquake,https://www.oxfordlearnersdictionaries.com/definition/english/seaquake,C2,seaquake,trận động đất,noun,/ˈsiːkweɪk/,
shock_wave,https://www.oxfordlearnersdictionaries.com/definition/english/shock-wave,C1,shock wave,sóng xung kích,noun,/ˈʃɒk weɪv/,
natural_disaster,https://www.oxfordlearnersdictionaries.com/definition/english/natural-disaster,A2,natural disaster,thiên tai,noun,/ˌnætʃrəl dɪˈzɑːstə(r)/,
shock,https://www.oxfordlearnersdictionaries.com/definition/english/shock_1,B2,shock,sốc,noun,/ʃɒk/,
storm,https://www.oxfordlearnersdictionaries.com/definition/english/storm_1,A2,storm,bão,noun,/stɔːm/,
temblor,https://www.oxfordlearnersdictionaries.com/definition/english/temblor,C2,temblor,động đất,noun,/ˈtemblə(r)/,
tidal_wave,https://www.oxfordlearnersdictionaries.com/definition/english/tidal-wave,C1,tidal wave,sóng thủy triều,noun,/ˈtaɪdl weɪv/,
thunderstorm,https://www.oxfordlearnersdictionaries.com/definition/english/thunderstorm,B2,thunderstorm,dông,noun,/ˈθʌndəstɔːm/,
toll,https://www.oxfordlearnersdictionaries.com/definition/english/toll_1,C1,toll,số điện thoại,noun,/təʊl/,
snowslide,https://www.oxfordlearnersdictionaries.com/definition/english/snowslide,C1,snowslide,trượt tuyết,noun,/ˈsnəʊslaɪd/,
tornado,https://www.oxfordlearnersdictionaries.com/definition/english/tornado_1,B1,tornado,cơn lốc xoáy,noun,/tɔːˈneɪdəʊ/,
tremor,https://www.oxfordlearnersdictionaries.com/definition/english/tremor,C2,tremor,sự rung chuyển,noun,/ˈtremə(r)/,
typhoon,https://www.oxfordlearnersdictionaries.com/definition/english/typhoon,B2,typhoon,cơn bão,noun,/taɪˈfuːn/,
twister,https://www.oxfordlearnersdictionaries.com/definition/english/twister,C2,twister,cơn lốc xoáy,noun,/ˈtwɪstə(r)/,
volcano,https://www.oxfordlearnersdictionaries.com/definition/english/volcano,B1,volcano,núi lửa,noun,/vɒlˈkeɪnəʊ/,
volcanic,https://www.oxfordlearnersdictionaries.com/definition/english/volcanic,B2,volcanic,núi lửa,adjective,/vɒlˈkænɪk/,
wildfire,https://www.oxfordlearnersdictionaries.com/definition/english/wildfire,C1,wildfire,cháy rừng,noun,/ˈwaɪldfaɪə(r)/,
windstorm,https://www.oxfordlearnersdictionaries.com/definition/english/windstorm,B1,windstorm,bão gió,noun,/ˈwɪndstɔːm/,
tsunami,https://www.oxfordlearnersdictionaries.com/definition/english/tsunami,B2,tsunami,sóng thần,noun,/tsuːˈnɑːmi/,
waterspout,https://www.oxfordlearnersdictionaries.com/definition/english/waterspout,C2,waterspout,vòi nước,noun,/ˈwɔːtəspaʊt/,
