id,url,levels,word,translation,part_of_speech,ipa,audio_link
cisgender,https://www.oxfordlearnersdictionaries.com/definition/english/cisgender,C2,cisgender,người chuyển giới,adjective,/ˌsɪsˈdʒendə(r)/,
cis,https://www.oxfordlearnersdictionaries.com/definition/english/cis_1,C2,cis,cis,adjective,/sɪs/,
bisexual,https://www.oxfordlearnersdictionaries.com/definition/english/bisexual_2,C1,bisexual,lưỡng tính,noun,/ˌbaɪˈsekʃuəl/,
assign,https://www.oxfordlearnersdictionaries.com/definition/english/assign,C2,assign,giao phó,verb,/əˈsaɪn/,
binary,https://www.oxfordlearnersdictionaries.com/definition/english/binary_2,C2,binary,nhị phân,noun,/ˈbaɪnəri/,
bisexual,https://www.oxfordlearnersdictionaries.com/definition/english/bisexual_1,C1,bisexual,lưỡng tính,adjective,/ˌbaɪˈsekʃuəl/,
afab,https://www.oxfordlearnersdictionaries.com/definition/english/afab,C2,AFAB,AFAB,abbreviation,/ˈeɪfæb/,
amab,https://www.oxfordlearnersdictionaries.com/definition/english/amab,C2,AMAB,AMAB,abbreviation,/ˈeɪmæb/,
asexuality,https://www.oxfordlearnersdictionaries.com/definition/english/asexuality,C2,asexuality,vô tính,noun,/ˌeɪsekʃuˈæləti/,
closeted,https://www.oxfordlearnersdictionaries.com/definition/english/closeted,C2,closeted,đóng cửa,adjective,/ˈklɒzɪtɪd/,
female,https://www.oxfordlearnersdictionaries.com/definition/english/female_1,A2,female,nữ giới,adjective,/ˈfiːmeɪl/,
come_out,https://www.oxfordlearnersdictionaries.com/definition/english/come-out,C2,come out,đi ra ngoài,phrasal verb,,
asexual,https://www.oxfordlearnersdictionaries.com/definition/english/asexual,C2,asexual,vô tính,adjective,/ˌeɪˈsekʃuəl/,
cross-dresser,https://www.oxfordlearnersdictionaries.com/definition/english/cross-dresser,C2,cross-dresser,người ăn mặc chéo,noun,/ˌkrɒs ˈdresə(r)/,
cross-dressing,https://www.oxfordlearnersdictionaries.com/definition/english/cross-dressing,C2,cross-dressing,mặc quần áo chéo,noun,/ˌkrɒs ˈdresɪŋ/,
feminine,https://www.oxfordlearnersdictionaries.com/definition/english/feminine_1,C1,feminine,nữ tính,adjective,/ˈfemənɪn/,
gay,https://www.oxfordlearnersdictionaries.com/definition/english/gay_1,B2,gay,đồng tính nam,adjective,/ɡeɪ/,
femininity,https://www.oxfordlearnersdictionaries.com/definition/english/femininity,C2,femininity,nữ tính,noun,/ˌfeməˈnɪnəti/,
deadname,https://www.oxfordlearnersdictionaries.com/definition/english/deadname,C2,deadname,tên chết,verb,/ˈdedneɪm/,
gender_expression,https://www.oxfordlearnersdictionaries.com/definition/english/gender-expression,C2,gender expression,biểu hiện giới tính,noun,/ˈdʒendər ɪkspreʃn/,
gay,https://www.oxfordlearnersdictionaries.com/definition/english/gay_2,C1,gay,đồng tính nam,noun,/ɡeɪ/,
gender-fluid,https://www.oxfordlearnersdictionaries.com/definition/english/gender-fluid,C2,gender-fluid,chất lỏng giới tính,adjective,/ˌdʒendə ˈfluːɪd/,
gender_identity,https://www.oxfordlearnersdictionaries.com/definition/english/gender-identity,C1,gender identity,nhận dạng giới tính,noun,/ˈdʒendər aɪdentəti/,
gender-neutral,https://www.oxfordlearnersdictionaries.com/definition/english/gender-neutral,C1,gender-neutral,trung tính về giới tính,adjective,/ˌdʒendə ˈnjuːtrəl/,
gender,https://www.oxfordlearnersdictionaries.com/definition/english/gender,B2,gender,giới tính,noun,/ˈdʒendə(r)/,
gender_gap,https://www.oxfordlearnersdictionaries.com/definition/english/gender-gap,C1,gender gap,khoảng cách giới tính,noun,/ˈdʒendə ɡæp/,
genderqueer,https://www.oxfordlearnersdictionaries.com/definition/english/genderqueer,C2,genderqueer,người có giới tính khác,adjective,/ˈdʒendəkwɪə(r)/,
gender-nonconforming,https://www.oxfordlearnersdictionaries.com/definition/english/gender-nonconforming,C2,gender-nonconforming,không phù hợp giới tính,adjective,/ˌdʒendə nɒnkənˈfɔːmɪŋ/,
gender_binary,https://www.oxfordlearnersdictionaries.com/definition/english/gender-binary,C2,gender binary,giới tính nhị phân,noun,/ˌdʒendə ˈbaɪnəri/,
hetero,https://www.oxfordlearnersdictionaries.com/definition/english/hetero_1,C2,hetero,dị tính,adjective,/ˈhetərəʊ/,
gendered,https://www.oxfordlearnersdictionaries.com/definition/english/gendered,C2,gendered,có giới tính,adjective,/ˈdʒendəd/,
genderless,https://www.oxfordlearnersdictionaries.com/definition/english/genderless,C1,genderless,không có giới tính,adjective,/ˈdʒendələs/,
heteronormative,https://www.oxfordlearnersdictionaries.com/definition/english/heteronormative,C2,heteronormative,dị chuẩn hóa,adjective,/ˌhetərəʊˈnɔːmətɪv/,
heterosexual,https://www.oxfordlearnersdictionaries.com/definition/english/heterosexual_2,C2,heterosexual,dị tính,noun,/ˌhetərəˈsekʃuəl/,
homosexual,https://www.oxfordlearnersdictionaries.com/definition/english/homosexual_2,C1,homosexual,đồng tính luyến ái,noun,/ˌhəʊməˈsekʃuəl/,
homosexual,https://www.oxfordlearnersdictionaries.com/definition/english/homosexual_1,C1,homosexual,đồng tính luyến ái,adjective,/ˌhəʊməˈsekʃuəl/,
hijra,https://www.oxfordlearnersdictionaries.com/definition/english/hijra_1,C2,hijra,hijra,noun,/ˈhɪdʒrə/,
gender-specific,https://www.oxfordlearnersdictionaries.com/definition/english/gender-specific,C1,gender-specific,giới tính cụ thể,adjective,/ˌdʒendə spəˈsɪfɪk/,
heterosexual,https://www.oxfordlearnersdictionaries.com/definition/english/heterosexual_1,C1,heterosexual,dị tính,adjective,/ˌhetərəˈsekʃuəl/,
intersex,https://www.oxfordlearnersdictionaries.com/definition/english/intersex_1,C2,intersex,liên giới tính,adjective,/ˈɪntəseks/,
incel,https://www.oxfordlearnersdictionaries.com/definition/english/incel,C2,incel,incel,noun,/ˈɪnsel/,
homosexuality,https://www.oxfordlearnersdictionaries.com/definition/english/homosexuality,C2,homosexuality,đồng tính luyến ái,noun,/ˌhəʊməˌsekʃuˈæləti/,
lesbian,https://www.oxfordlearnersdictionaries.com/definition/english/lesbian_1,C1,lesbian,đồng tính nữ,adjective,/ˈlezbiən/,
lesbian,https://www.oxfordlearnersdictionaries.com/definition/english/lesbian_2,C1,lesbian,đồng tính nữ,noun,/ˈlezbiən/,
latinx,https://www.oxfordlearnersdictionaries.com/definition/english/latinx_2,C2,Latinx,Latinx,adjective,/læˈtiːneks/,
latinx,https://www.oxfordlearnersdictionaries.com/definition/english/latinx_1,C2,Latinx,Latinx,noun,/læˈtiːneks/,
lesbianism,https://www.oxfordlearnersdictionaries.com/definition/english/lesbianism,C2,lesbianism,chủ nghĩa đồng tính nữ,noun,/ˈlezbiənɪzəm/,
lgbtq,https://www.oxfordlearnersdictionaries.com/definition/english/lgbtq,C1,LGBTQ,LGBTQ,abbreviation,/ˌel dʒiː ˌbiː tiː ˈkjuː/,
lgbtqi,https://www.oxfordlearnersdictionaries.com/definition/english/lgbtqi,C2,LGBTQI,LGBTQI,abbreviation,/ˌel dʒiː ˌbiː tiː ˌkjuː ˈaɪ/,
lgbt,https://www.oxfordlearnersdictionaries.com/definition/english/lgbt,C1,LGBT,LGBT,abbreviation,/ˌel dʒiː biː ˈtiː/,
lgbti,https://www.oxfordlearnersdictionaries.com/definition/english/lgbti,C2,LGBTI,LGBTI,abbreviation,/ˌel dʒiː ˌbiː tiː ˈaɪ/,
male,https://www.oxfordlearnersdictionaries.com/definition/english/male_1,A2,male,nam giới,adjective,/meɪl/,
masculine,https://www.oxfordlearnersdictionaries.com/definition/english/masculine_1,C1,masculine,giống đực,adjective,/ˈmæskjəlɪn/,
masculinity,https://www.oxfordlearnersdictionaries.com/definition/english/masculinity,C2,masculinity,nam tính,noun,/ˌmæskjəˈlɪnəti/,
lgbtqia,https://www.oxfordlearnersdictionaries.com/definition/english/lgbtqia_1,C2,LGBTQIA,LGBTQIA,abbreviation,/ˌel dʒiː ˌbiː tiː ˌkjuː aɪ ˈeɪ/,
man,https://www.oxfordlearnersdictionaries.com/definition/english/man_1,A1,man,người đàn ông,noun,/mæn/,
