id,url,levels,word,translation,part_of_speech,ipa,audio_link
carol,https://www.oxfordlearnersdictionaries.com/definition/english/carol_1,C1,carol,bài hát mừng,noun,/ˈkærəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carol/carol__gb_1.mp3
chanukah,https://www.oxfordlearnersdictionaries.com/definition/english/chanukah,B2,Chanukah,Chanukah,noun,/ˈhænʊkə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/hanuk/hanukkah__gb_1.mp3
ash_wednesday,https://www.oxfordlearnersdictionaries.com/definition/english/ash-wednesday,C2,Ash Wednesday,Thứ Tư Lễ Tro,noun,/ˌæʃ ˈwenzdeɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ash/ash_w/ash_wednesday_1_gb_1.mp3
bon,https://www.oxfordlearnersdictionaries.com/definition/english/bon,C2,Bon,Bon,noun,/bɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bon_1/bon_1_gb_2.mp3
chinese_new_year,https://www.oxfordlearnersdictionaries.com/definition/english/chinese-new-year,C1,Chinese New Year,Tết Nguyên Đán,noun,/ˌtʃaɪniːz njuː ˈjɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chine/chinese_new_year_1_gb_1.mp3
advent,https://www.oxfordlearnersdictionaries.com/definition/english/advent,C2,advent,sự xuất hiện,noun,/ˈædvent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adven/advent__gb_1.mp3
ascension_day,https://www.oxfordlearnersdictionaries.com/definition/english/ascension-day,C2,Ascension Day,Ngày thăng thiên,noun,/əˈsenʃn deɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asc/ascen/ascension_day_1_gb_1.mp3
all_souls’_day,https://www.oxfordlearnersdictionaries.com/definition/english/all-souls-day,C2,All Souls’ Day,Ngày của các linh hồn,noun,/ˌɔːl ˈsəʊlz deɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_s/all_souls_day_1_gb_1.mp3
boxing_day,https://www.oxfordlearnersdictionaries.com/definition/english/boxing-day,C2,Boxing Day,Ngày tặng quà,noun,/ˈbɒksɪŋ deɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/box/boxin/boxing_day_1_gb_1.mp3
all_saints’_day,https://www.oxfordlearnersdictionaries.com/definition/english/all-saints-day,C2,All Saints’ Day,Ngày lễ các Thánh,noun,/ˌɔːl ˈseɪnts deɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_s/all_saints_day_1_gb_1.mp3
christmas,https://www.oxfordlearnersdictionaries.com/definition/english/christmas,A1,Christmas,Giáng sinh,noun,/ˈkrɪsməs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chr/chris/christmas__gb_1.mp3
