id,url,levels,word,translation,part_of_speech,ipa,audio_link
alcoholic,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholic_1,B1,alcoholic,rượu,adjective,/ˌælkəˈhɒlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
addict,https://www.oxfordlearnersdictionaries.com/definition/english/addict,C1,addict,người nghiện,noun,/ˈædɪkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addict__gb_1.mp3
addiction,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,B2,addiction,nghiện,noun,/əˈdɪkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addiction__gb_1.mp3
addicted,https://www.oxfordlearnersdictionaries.com/definition/english/addicted,B2,addicted,nghiện,adjective,/əˈdɪktɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addicted__gb_1.mp3
alcohol,https://www.oxfordlearnersdictionaries.com/definition/english/alcohol,B1,alcohol,rượu bia,noun,/ˈælkəhɒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcohol__gb_1.mp3
addictive,https://www.oxfordlearnersdictionaries.com/definition/english/addictive,C1,addictive,gây nghiện,adjective,/əˈdɪktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addic/addictive__gb_1.mp3
alcoholics_anonymous™,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholics-anonymoustm,C2,Alcoholics Anonymous™,Người nghiện rượu ẩn danh™,noun,/ˌælkəˌhɒlɪks əˈnɒnɪməs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholics_anonymous_1_gb_1.mp3
alcoholic,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholic_2,C1,alcoholic,rượu,noun,/ˌælkəˈhɒlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholic__gb_1.mp3
antibiotic,https://www.oxfordlearnersdictionaries.com/definition/english/antibiotic_1,B2,antibiotic,kháng sinh,noun,/ˌæntibaɪˈɒtɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antib/antibiotic__gb_1.mp3
amphetamine,https://www.oxfordlearnersdictionaries.com/definition/english/amphetamine,C2,amphetamine,amphetamine,noun,/æmˈfetəmiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amp/amphe/amphetamine__gb_1.mp3
alcoholism,https://www.oxfordlearnersdictionaries.com/definition/english/alcoholism,C2,alcoholism,chứng nghiện rượu,noun,/ˈælkəhɒlɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alc/alcoh/alcoholism__gb_1.mp3
antiseptic,https://www.oxfordlearnersdictionaries.com/definition/english/antiseptic_2,C1,antiseptic,sát trùng,adjective,/ˌæntiˈseptɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antis/antiseptic__gb_1.mp3
antidote,https://www.oxfordlearnersdictionaries.com/definition/english/antidote,C2,antidote,thuốc giải độc,noun,/ˈæntidəʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antid/antidote__gb_1.mp3
bender,https://www.oxfordlearnersdictionaries.com/definition/english/bender,C2,bender,người uốn cong,noun,/ˈbendə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bende/bender__gb_1.mp3
antiseptic,https://www.oxfordlearnersdictionaries.com/definition/english/antiseptic_1,C1,antiseptic,sát trùng,noun,/ˌæntiˈseptɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antis/antiseptic__gb_1.mp3
booze,https://www.oxfordlearnersdictionaries.com/definition/english/booze_1,C2,booze,rượu,noun,/buːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booze/booze__gb_2.mp3
