id,url,levels,word,translation,part_of_speech,ipa,audio_link
biology,https://www.oxfordlearnersdictionaries.com/definition/english/biology,A2,biology,sinh vật học,noun,/baɪˈɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bio/biolo/biology__gb_2.mp3
earth_science,https://www.oxfordlearnersdictionaries.com/definition/english/earth-science,B2,earth science,khoa học trái đất,noun,/ˈɜːθ saɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earth/earth_science_1_gb_1.mp3
anatomy,https://www.oxfordlearnersdictionaries.com/definition/english/anatomy,C2,anatomy,giải phẫu,noun,/əˈnætəmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/anato/anatomy__gb_1.mp3
cybernetics,https://www.oxfordlearnersdictionaries.com/definition/english/cybernetics,C2,cybernetics,điều khiển học,noun,/ˌsaɪbəˈnetɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyb/cyber/cybernetics__gb_1.mp3
archaeology,https://www.oxfordlearnersdictionaries.com/definition/english/archaeology,B2,archaeology,khảo cổ học,noun,/ˌɑːkiˈɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archa/archaeology__gb_2.mp3
biochemistry,https://www.oxfordlearnersdictionaries.com/definition/english/biochemistry,B2,biochemistry,hóa sinh,noun,/ˌbaɪəʊˈkemɪstri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bio/bioch/biochemistry__gb_1.mp3
chemistry,https://www.oxfordlearnersdictionaries.com/definition/english/chemistry,A2,chemistry,hoá học,noun,/ˈkemɪstri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chemi/chemistry__gb_2.mp3
botanist,https://www.oxfordlearnersdictionaries.com/definition/english/botanist,C2,botanist,nhà thực vật học,noun,/ˈbɒtənɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/botan/botanist__gb_3.mp3
botany,https://www.oxfordlearnersdictionaries.com/definition/english/botany,C2,botany,thực vật học,noun,/ˈbɒtəni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/botan/botany__gb_3.mp3
climatology,https://www.oxfordlearnersdictionaries.com/definition/english/climatology,C2,climatology,khí hậu học,noun,/ˌklaɪməˈtɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climatology__gb_1.mp3
engineering,https://www.oxfordlearnersdictionaries.com/definition/english/engineering,B1,engineering,kỹ thuật,noun,/ˌendʒɪˈnɪərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engin/engineering__gb_3.mp3
food_science,https://www.oxfordlearnersdictionaries.com/definition/english/food-science,B2,food science,khoa học thực phẩm,noun,/ˈfuːd saɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_science_1_gb_1.mp3
geology,https://www.oxfordlearnersdictionaries.com/definition/english/geology,B2,geology,địa chất,noun,/dʒiˈɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/geo/geolo/geology__gb_3.mp3
geologist,https://www.oxfordlearnersdictionaries.com/definition/english/geologist,B2,geologist,nhà địa chất,noun,/dʒiˈɒlədʒɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/geo/geolo/geologist__gb_2.mp3
hydrology,https://www.oxfordlearnersdictionaries.com/definition/english/hydrology,C2,hydrology,thủy văn,noun,/haɪˈdrɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hyd/hydro/hydrology__gb_1.mp3
geochemical,https://www.oxfordlearnersdictionaries.com/definition/english/geochemical,C1,geochemical,địa hóa,adjective,/ˌdʒiːəʊˈkemɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/geo/geoch/geochemical__gb_1.mp3
food_technology,https://www.oxfordlearnersdictionaries.com/definition/english/food-technology,B2,food technology,công nghệ thực phẩm,noun,/ˌfuːd tekˈnɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_technology_1_gb_1.mp3
