id,url,levels,word,translation,part_of_speech,ipa,audio_link
celeb,https://www.oxfordlearnersdictionaries.com/definition/english/celeb,A2,celeb,người nổi tiếng,noun,/səˈleb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/celeb/celeb__gb_3.mp3
celebrity,https://www.oxfordlearnersdictionaries.com/definition/english/celebrity,A2,celebrity,người nổi tiếng,noun,/səˈlebrəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/celeb/celebrity__gb_1.mp3
household_name,https://www.oxfordlearnersdictionaries.com/definition/english/household-name,C2,household name,tên hộ gia đình,noun,/ˌhaʊshəʊld ˈneɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hou/house/household_name_1_gb_1.mp3
a-list,https://www.oxfordlearnersdictionaries.com/definition/english/a-list,C2,A-list,Danh sách A,adjective,/ˈeɪ lɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a_l/a_lis/a_list_1_gb_1.mp3
heart-throb,https://www.oxfordlearnersdictionaries.com/definition/english/heart-throb,C2,heart-throb,tim đập mạnh,noun,/ˈhɑːt θrɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heart/heart_throb_1_gb_1.mp3
has-been,https://www.oxfordlearnersdictionaries.com/definition/english/has-been,C2,has-been,đã từng,noun,/ˈhæz biːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/has/has_b/has_been_1_gb_1.mp3
b-list,https://www.oxfordlearnersdictionaries.com/definition/english/b-list,C2,B-list,Danh sách B,adjective,/ˈbiː lɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/b_l/b_lis/b_list_1_gb_1.mp3
buzzworthy,https://www.oxfordlearnersdictionaries.com/definition/english/buzzworthy,C2,buzzworthy,đáng nói,adjective,/ˈbʌzwɜːði/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buz/buzzw/buzzworthy__gb_1.mp3
endorsement,https://www.oxfordlearnersdictionaries.com/definition/english/endorsement,C1,endorsement,sự chứng thực,noun,/ɪnˈdɔːsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/end/endor/endorsement__gb_1.mp3
matinee_idol,https://www.oxfordlearnersdictionaries.com/definition/english/matinee-idol,C2,matinee idol,thần tượng buổi sáng,noun,/ˈmætɪneɪ aɪdl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mat/matin/matinee_idol_1_gb_1.mp3
megastar,https://www.oxfordlearnersdictionaries.com/definition/english/megastar,C2,megastar,siêu sao,noun,/ˈmeɡəstɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/meg/megas/megastar__gb_1.mp3
rat_pack,https://www.oxfordlearnersdictionaries.com/definition/english/rat-pack,C2,rat pack,gói chuột,noun,/ˈræt pæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rat/rat_p/rat_pack_1_gb_1.mp3
sleb,https://www.oxfordlearnersdictionaries.com/definition/english/sleb,C2,sleb,xe trượt tuyết,noun,/sleb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sle/sleb_/sleb__gb_2.mp3
star,https://www.oxfordlearnersdictionaries.com/definition/english/star_1,A1,star,ngôi sao,noun,/stɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sta/star_/star__gb_2.mp3
photocall,https://www.oxfordlearnersdictionaries.com/definition/english/photocall,C2,photocall,sổ chụp hình,noun,/ˈfəʊtəʊkɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/photo/photocall__gb_1.mp3
silvertail,https://www.oxfordlearnersdictionaries.com/definition/english/silvertail,C2,silvertail,đuôi bạc,noun,/ˈsɪlvəteɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sil/silve/silvertail__gb_1.mp3
wag,https://www.oxfordlearnersdictionaries.com/definition/english/wag_3,C2,Wag,Hay bông lơn,noun,/wæɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wag/wag_1/wag_1_gb_1.mp3
vip,https://www.oxfordlearnersdictionaries.com/definition/english/vip,C1,VIP,VIP,noun,/ˌviː aɪ ˈpiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/vip/vip__/vip__gb_1.mp3
tell-all,https://www.oxfordlearnersdictionaries.com/definition/english/tell-all,C2,tell-all,kể tất cả,adjective,/ˈtel ɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tel/tell_/tell_all_1_gb_2.mp3
photo_opportunity,https://www.oxfordlearnersdictionaries.com/definition/english/photo-opportunity,C1,photo opportunity,cơ hội chụp ảnh,noun,/ˈfəʊtəʊ ɒpətjuːnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/photo/photo_opportunity_1_gb_1.mp3
wannabe,https://www.oxfordlearnersdictionaries.com/definition/english/wannabe,C2,wannabe,muốn trở thành,noun,/ˈwɒnəbi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wan/wanna/wannabe__gb_1.mp3
