id,url,levels,word,translation,part_of_speech,ipa,audio_link
airplay,https://www.oxfordlearnersdictionaries.com/definition/english/airplay,C2,airplay,phát sóng,noun,/ˈeəpleɪ/,
compilation,https://www.oxfordlearnersdictionaries.com/definition/english/compilation,C2,compilation,biên soạn,noun,/ˌkɒmpɪˈleɪʃn/,
auditorium,https://www.oxfordlearnersdictionaries.com/definition/english/auditorium,C2,auditorium,khán phòng,noun,/ˌɔːdɪˈtɔːriəm/,
cd,https://www.oxfordlearnersdictionaries.com/definition/english/cd,A1,CD,đĩa CD,noun,/ˌsiː ˈdiː/,
audience,https://www.oxfordlearnersdictionaries.com/definition/english/audience,A2,audience,khán giả,noun,/ˈɔːdiəns/,
album,https://www.oxfordlearnersdictionaries.com/definition/english/album,B1,album,album,noun,/ˈælbəm/,
chart,https://www.oxfordlearnersdictionaries.com/definition/english/chart_1,B2,chart,biểu đồ,noun,/tʃɑːt/,
cd_writer,https://www.oxfordlearnersdictionaries.com/definition/english/cd-writer,C2,CD writer,người ghi đĩa CD,noun,/ˌsiː ˈdiː raɪtə(r)/,
concept_album,https://www.oxfordlearnersdictionaries.com/definition/english/concept-album,C2,concept album,album khái niệm,noun,/ˈkɒnsept ælbəm/,
cd_burner,https://www.oxfordlearnersdictionaries.com/definition/english/cd-burner,C2,CD burner,ổ ghi đĩa CD,noun,/ˌsiː ˈdiː bɜːnə(r)/,
deck,https://www.oxfordlearnersdictionaries.com/definition/english/deck_1,C2,deck,boong tàu,noun,/dek/,
hi-fi,https://www.oxfordlearnersdictionaries.com/definition/english/hi-fi_2,C1,hi-fi,hi-fi,noun,/ˈhaɪ faɪ/,
headphones,https://www.oxfordlearnersdictionaries.com/definition/english/headphones,B2,headphones,tai nghe,noun,/ˈhedfəʊnz/,
discography,https://www.oxfordlearnersdictionaries.com/definition/english/discography,C2,discography,đĩa nhạc,noun,/dɪˈskɒɡrəfi/,
jukebox,https://www.oxfordlearnersdictionaries.com/definition/english/jukebox,C1,jukebox,máy hát tự động,noun,/ˈdʒuːkbɒks/,
listen,https://www.oxfordlearnersdictionaries.com/definition/english/listen_1,A1,listen,Nghe,verb,/ˈlɪsn/,
loudspeaker,https://www.oxfordlearnersdictionaries.com/definition/english/loudspeaker,C1,loudspeaker,loa phóng thanh,noun,/ˌlaʊdˈspiːkə(r)/,
flip_side,https://www.oxfordlearnersdictionaries.com/definition/english/flip-side,C2,flip side,mặt trái,noun,/ˈflɪp saɪd/,
ipod™,https://www.oxfordlearnersdictionaries.com/definition/english/ipodtm,B1,iPod™,iPod™,noun,/ˈaɪpɒd/,
ghetto_blaster,https://www.oxfordlearnersdictionaries.com/definition/english/ghetto-blaster,C2,ghetto blaster,máy nổ khu ổ chuột,noun,/ˈɡetəʊ blɑːstə(r)/,
mp3_player,https://www.oxfordlearnersdictionaries.com/definition/english/mp3-player,A2,MP3 player,máy nghe nhạc MP3,noun,/ˌem piː ˈθriː pleɪə(r)/,
on_shuffle,https://www.oxfordlearnersdictionaries.com/definition/english/shuffle_2,C2,on shuffle,ngẫu nhiên,noun,/ˈʃʌfl/,
player,https://www.oxfordlearnersdictionaries.com/definition/english/player,A1,player,người chơi,noun,/ˈpleɪə(r)/,
mp3,https://www.oxfordlearnersdictionaries.com/definition/english/mp3,A2,MP3,MP3,noun,/ˌem piː ˈθriː/,
record_player,https://www.oxfordlearnersdictionaries.com/definition/english/record-player,B2,record player,máy ghi âm,noun,/ˈrekɔːd pleɪə(r)/,
liner_note,https://www.oxfordlearnersdictionaries.com/definition/english/liner-note,C2,liner note,ghi chú lót,noun,/ˈlaɪnə nəʊt/,
playlist,https://www.oxfordlearnersdictionaries.com/definition/english/playlist,C1,playlist,danh sách phát,noun,/ˈpleɪlɪst/,
radio,https://www.oxfordlearnersdictionaries.com/definition/english/radio_1,A1,radio,radio,noun,/ˈreɪdiəʊ/,
record,https://www.oxfordlearnersdictionaries.com/definition/english/record_1,B1,record,ghi,noun,/ˈrekɔːd/,
single,https://www.oxfordlearnersdictionaries.com/definition/english/single_2,B2,single,đơn,noun,/ˈsɪŋɡl/,
speaker,https://www.oxfordlearnersdictionaries.com/definition/english/speaker,B2,speaker,loa,noun,/ˈspiːkə(r)/,
stereo,https://www.oxfordlearnersdictionaries.com/definition/english/stereo_2,B2,stereo,âm thanh nổi,noun,/ˈsteriəʊ/,
tape,https://www.oxfordlearnersdictionaries.com/definition/english/tape_1,B1,tape,băng,noun,/teɪp/,
track,https://www.oxfordlearnersdictionaries.com/definition/english/track_1,B2,track,theo dõi,noun,/træk/,
stream,https://www.oxfordlearnersdictionaries.com/definition/english/stream_2,C1,stream,suối,verb,/striːm/,
turntable,https://www.oxfordlearnersdictionaries.com/definition/english/turntable,C2,turntable,bàn xoay,noun,/ˈtɜːnteɪbl/,
vinyl,https://www.oxfordlearnersdictionaries.com/definition/english/vinyl,C1,vinyl,nhựa vinyl,noun,/ˈvaɪnl/,
sleeve_note,https://www.oxfordlearnersdictionaries.com/definition/english/sleeve-note,C2,sleeve note,ghi chú tay áo,noun,/ˈsliːv nəʊt/,
soundtrack,https://www.oxfordlearnersdictionaries.com/definition/english/soundtrack,B2,soundtrack,nhạc nền,noun,/ˈsaʊndtræk/,
volume,https://www.oxfordlearnersdictionaries.com/definition/english/volume,B2,volume,âm lượng,noun,/ˈvɒljuːm/,
tracklist,https://www.oxfordlearnersdictionaries.com/definition/english/tracklist,C2,tracklist,danh sách bài hát,noun,/ˈtræklɪst/,
